nl_clip,regexp
words that start with 'bag' and followed by 'a' or 'e' and  end with 'r',^bag.*a.*e.*r$
words that start with 'kar' and  end with 'n',^kar.*n$
words that start with 'b'  followed by 'r'  and  'ha' and  end with 'y' or 'e',^b.*r.*ha.*y.*e$
words that start with 'kam'  and followed by  'zor' or 'zur' in between,^kam.*zor.*zur$
words that start with 'sho'  and followed by  one 'r',^sho.*r$
words that start with 'gh'  and  end with 's',^gh.*s$
words that start with 'mar' and  end with 'y' or 'n',^mar.*y.*n$
words that start with 'b'  followed by  'kt' or 'gt' and  end with 'y' or 'e',^b.*kt.*gt.*y.*e$
words that start with 'muq' or 'maq' and  end with 'dar',^muq.*maq.*dar$
words that start with  'q' and  end with 'm',^q.*m$
words that start with 'k' and  end with 'm',^k.*m$
words that start with 'may' and  end with 's',^may.*s$
words that start with 'p' and  end with  'shani',^p.*shani$
words that start with 'p'  followed by  'shan' with and  end  ,^p.*shan$
words that start with 'gh' or 'g'  followed by  one 'r'  and  end with 'b' or 'I',^gh.*g.*r.*b.*I$
words that start with 'g'  followed by  't' and  end with 'a',^g.*t.*a$
words that start with 'g' and  end with 'pla',^g.*pla$
words that start with 'g'  followed by  two 'r's with any number of 'u'  and  'o' in between them,^g.*r.*u.*o$
words that start with 'd'  followed by  'kh' and  end with 'wa',^d.*kh.*wa$
words that start with 'g' and  end with 'nah',^g.*nah$
words that start with 'sh'  followed by  one 'r'  and  end with 'm',^sh.*r.*m$
words that start with 'ch' and  end with 'mcha',^ch.*mcha$
words that start with  'b'  followed by  'g' and  end with 'rat' or 'ret' or 'rt',^b.*g.*rat.*ret.*rt$
"words that start with 'b'  followed by  'g' ,'h',  and  'r' and  end with 'I'",^b.*g.*h.*r.*I$
words that start with 'zi' and  end with 'ti' or 'dti',^zi.*ti.*dti$
words that start with 'aa' or 'a' might followed by  'ns'  and  end with 'su' or 'soo' may followed by 'n',^aa.*a.*ns.*su.*soo.*n$
words that start with 'z' and  end with 'da' or 'dah',^z.*da.*dah$
words that start with 'z'  followed by  two 'r's in between and  end with 't',^z.*r.*t$
words that start with 'z' and  end with 'ri' and followed by  another 'r' in between,^z.*ri.*r$
words that start with 'd'  followed by  'mag' of 'mak' may and  end with 'h',^d.*mag.*mak.*h$
words that start with 'b' and  end with 'l'  followed by  'o' or 'u' in between,^b.*l.*o.*u$
words that start with 'ch' or 'sh'  followed by  'ot',^ch.*sh.*ot$
words that start with 't'  followed by  'or' and  end with 'do',^t.*or.*do$
words that start with 'b'  followed by  'sub' or 'sab' in between,^b.*sub.*sab$
words that start with 'm'  followed by  's'  and  end with 'kil' or 'kal' or 'kel',^m.*s.*kil.*kal.*kel$
words that start with 'n' and  end with 'cha' ,^n.*cha$
words that start with 'd'  followed by  'y' or  'I' in between and  end with 'an',^d.*y.*I.*an$
words that start with 'b'  followed by  'cha' in between  and  end with 'ni',^b.*cha.*ni$
words that start with 'eh' or 'ah'  followed by  'sa' and  end with 'n',^eh.*ah.*sa.*n$
words that start with 'g'  followed by  's' or 'ss' in between and  end with 'a' or 'ah',^g.*s.*ss.*a.*ah$
words that start with 'g'  followed by  's' or 'ss' in between and  end with 'e' or 'y',^g.*s.*ss.*e.*y$
words that start with 'la' and  end with 'chi',^la.*chi$
words that start with 'il' or 'el' and  end with 'ja' or 'jah',^il.*el.*ja.*jah$
words that start with 'mag'  followed by  'g'  and  two 'r's,^mag.*g.*r$
words that start with 'bad' or 'bd'  followed by  'ni' or 'ne' or 'ny' before and  end  ing with 't',^bad.*bd.*ni.*ne.*ny.*t$
words that start with 'a' or 'o'  followed by  'k' and  end with 'at',^a.*o.*k.*at$
words that start with 'g'  followed by  'l' in between and  end with 'ti' or 'ty',^g.*l.*ti.*ty$
"words that start with 'b'  followed by  'char' and  end with 'I', 'e' or 'y'",^b.*char.*I.*e.*y$
words that start with 'kh'  followed by  'la' and  end with 'af' ,^kh.*la.*af$
words that start with 'ga'  followed by  'li' and  end with 'an',^ga.*li.*an$
"words that start with 'd'  followed by  'rn' and  end with 'a' ,'e' or 'y'",^d.*rn.*a.*e.*y$
words that start with 'm'  followed by  'jb' and  end with 'ri',^m.*jb.*ri$
words that start with 'I' or 'e'  followed by  'z' and  end with 't',^I.*e.*z.*t$
words that start with 'adh' and  end with 'ri',^adh.*ri$
words that start with 'b'  followed by  'g' and  end with 'er' or 'ir',^b.*g.*er.*ir$
words that start with 'sh'  followed by  't' and  end with 'an',^sh.*t.*an$
words that start with 'm'  followed by  'nh' and  end with 's',^m.*nh.*s$
words that start with 's'  followed by  'fa' and  end with 'rish',^s.*fa.*rish$
words that start with 'hat'  followed by  'y' and  end with 'ar',^hat.*y.*ar$
words that start with 'kh' and  end with 'f',^kh.*f$
words that start with 'ka' and  end with 'ti'  followed by  'np' or 'mp' in between,^ka.*ti.*np.*mp$
words that start with 'mart' and  end  t with 'y' or 'I',^mart.*y.*I$
words that start with 'b'  followed by  'r' in between and  end with 'a',^b.*r.*a$
words that start with 'ch' followed by  another 'h' in between and  end with 'e' or 'y' or 'a',^ch.*h.*e.*y.*a$
words that start with 'b' and  end with 'zat' or 'zatt',^b.*zat.*zatt$
words that start with 'b'  followed by  'z' or 's' in between and  end with 'ti' or 'tii',^b.*z.*s.*ti.*tii$
words that start with 'zal' and  end with 'l',^zal.*l$
words that start with 'r'  followed by  's' in between and  end with 'va' or 'wa',^r.*s.*va.*wa$
words that start with 'tanq' and  end with 'd',^tanq.*d$
words that start with 'g'  followed by  'si' or 'se' in between and  end with 'ta',^g.*si.*se.*ta$
words that start with 'm'  followed by  'z' or 'j' in between and  end with 'k' or 'q',^m.*z.*j.*k.*q$
words that start with 'gad' and  end with 'e' or 'y',^gad.*e.*y$
words that start  and  end with 'u'  followed by  'll' in between,^u.*ll$
words that start with 'kam' and  end with 'e' or 'y'  followed by  'n' in between,^kam.*e.*y.*n$
words that start with 'ba'  followed by  'me' in between and  end with 'ez',^ba.*me.*ez$
words that start with 'gh' and  end with 'r' followed by  'o' or 'u' in between,^gh.*r.*o.*u$
words that start with 'maqs' and  end with 'd',^maqs.*d$
words that start with 'la'  followed by  'n' in between and  end with 't',^la.*n.*t$
words that start with 's' or 'z'  followed by  another 'z' in between and  end with 'ish' or 'esh',^s.*z.*z.*ish.*esh$
words that start with 'k' or 'q'  followed by  'as' in between and  end with 'r',^k.*q.*as.*r$
words that start with 'n'  followed by  'ya' in between and  end with 't',^n.*ya.*t$
words that start with 'pha'  followed by  one 'n' in between and  end with 's',^pha.*n.*s$
words that start with 'bad'  followed by  one 't' in between and  end with 'r',^bad.*t.*r$
words that start with 'b'  followed by  'ad' in between and  end with 'bi,^b.*ad$
words that start with 'b'  followed by  'wa' in between and  end with 'uf' or 'of',^b.*wa.*uf.*of$
words that start with 'm'  followed by  'n' in between and  end with 't',^m.*n.*t$
words that start with 'b'  followed by  'kw' or 'qw' in between and  end with 'as',^b.*kw.*qw.*as$
words that start with 'za'  followed by  another 'a' with and  end  ,^za.*a$
words that start with 'm'  followed by  'f' in between and  end with 'I',^m.*f.*I$
words that start with 'tak'  followed by  'le' in between and  end with 'f',^tak.*le.*f$
words that start with 'im'  followed by  one 't' in between and  end with 'an',^im.*t.*an$
words that start with 'af' and  end with 's',^af.*s$
words that start with 'b'  followed by  'h' in between and  end with 'd',^b.*h.*d$
words that start with 'nala' and  end with 'k' or 'q',^nala.*k.*q$
words that start with 'ud'  followed by  'as' and  end with 'I',^ud.*as.*I$
words that start with 'm'  followed by  'z' in between and  end with 'aj' ,^m.*z.*aj$
words that start with 't'  followed by  'b' and  end with 'a' or 'h',^t.*b.*a.*h$
words that start with 'nu'  followed by  'k' or 'q' and  end with 'an',^nu.*k.*q.*an$
words that start with 'aaf'  followed by  't' and  end with 'y' or 'n',^aaf.*t.*y.*n$
words that start with 'ki' or 'qi'  followed by  's' and  end with 'm',^ki.*qi.*s.*m$
words that start with 'beh' and  end with 'sh',^beh.*sh$
words that start with 'bh'  followed by  'k' and  end with 'y' or 'e',^bh.*k.*y.*e$
words that start with 'be' or 'ba'  followed by  'man' and  end with 'I',^be.*ba.*man.*I$
words that start with 'mag' or 'mug'  followed by  'f'  and  'r' in between and  end with 't',^mag.*mug.*f.*r.*t$
words that start with 'p'  followed by  's'  and  'n' in between and  end with 'd',^p.*s.*n.*d$
words that start with 'kanj' and  end with 's',^kanj.*s$
words that start with 'zi'  followed by  'd' and  end with 'ti',^zi.*d.*ti$
words that start with 'b'  followed by  'r'  and  'd' and  end with 'shth' or 'sht',^b.*r.*d.*shth.*sht$
words that start with 'e' or 'a'  followed by  'tj' and  end with 'aj',^e.*a.*tj.*aj$
words that start with 'int' and  end with 'hai',^int.*hai$
words that start with 'kh'  followed by  't' and  end with 'm',^kh.*t.*m$
words that start with'b'  followed by  'ch'  and  'g' in between and  end with 'na',^b.*ch.*g.*na$
words that start with 'faz' or 'fuz' and  end with 'l',^faz.*fuz.*l$
words that start with 'b' followed by  'rb' and  end with 'd',^b.*rb.*d$
words that start with 'ghis'  followed by  'p' and  end with 'ti',^ghis.*p.*ti$
words that start witg 'sh' and  end with 'k',^sh.*k$
words that start with 'zul' and  end with 'm',^zul.*m$
words that start with 'zi'  followed by  'd' and  end with 'I' or 'y',^zi.*d.*I.*y$
words that start with 'bh'  followed by  'r' or 'd' in between and  end with 'ka',^bh.*r.*d.*ka$
words that start with 'adh' and  end with 'ra',^adh.*ra$
words that start with 'k' or 'c'  followed by  't' and  end with 'putli',^k.*c.*t.*putli$
words that start with 'ru' or 'ro'  followed by  'la' and  end with 'y' or 'e' ,^ru.*ro.*la.*y.*e$
"words that start with 'kam' followed by  'n' and  end with 'I' , 'e' or 'y'",^kam.*n.*I.*e.*y$
words that start with 'bayg' or 'beg'  and  end with 'na' or 'nah',^bayg.*beg.*na.*nah$
words that start with 'ch'  followed by  'r'  and  end with 'se' or 'si',^ch.*r.*se.*si$
words that start with 'falt' and  end with 'o' or 'u',^falt.*o.*u$
words that start with 't'  followed by  'm' and  end with 'z',^t.*m.*z$
words that start with 'bura' and  end with 'yan',^bura.*yan$
words that start with 'bek' or 'bayk' and  end with 'ar',^bek.*bayk.*ar$
words that start with 'ru' or 'ro'  followed by  'kaw' and  end with 't',^ru.*ro.*kaw.*t$
words that start with 'gham' or 'gam'  followed by  'b' and  end with 'ir' or 'er',^gham.*gam.*b.*ir.*er$
words that start with 'm'  followed by  'zd' and  end with 'ur' or 'or',^m.*zd.*ur.*or$
words that start with 'g' and  end with 'flat',^g.*flat$
words that start with 'd'  followed by  'j' and  end with 'a' or 'n',^d.*j.*a.*n$
words that start with 'm' and  end with 'f',^m.*f$
words that start with 'g'  followed by  'ta' and  end with 'khi',^g.*ta.*khi$
words that start with 'bad'  followed by  's'  and  end with 'rat',^bad.*s.*rat$
words that start with 'taw' or 'tav' and  end with 'z',^taw.*tav.*z$
words that start with 'ku'  followed by  't' and  end with 'e' or 'y',^ku.*t.*e.*y$
words that start with 'mo'  followed by  'k' or 'q' in between and  end with 'f',^mo.*k.*q.*f$
words that start with 'bera'  followed by  'ghar' or 'gar' and  end with 'k' or 'q',^bera.*ghar.*gar.*k.*q$
words that start with 'maf' or 'muf'  followed by  'ad'  and  'par' in between and  end with 'st' or 'sth',^maf.*muf.*ad.*par.*st.*sth$
words that start with 'khudg' and  end with 'rz',^khudg.*rz$
words that start with 'nik'  followed by  'mm' in between and  end with 'I' or 'y',^nik.*mm.*I.*y$
"words that start with 'd'  followed by  'sh'  and  't' and followed by 'gr' or 'gar' and  end with 'di','do' or 'don'",^d.*sh.*t.*gr.*gar.*di.*do.*don$
words that start with 'g'  followed by  'd' and  end with 'r' or 'ri',^g.*d.*r.*ri$
words that start with 'bd' or 'bad'  followed by  'q' or 'k' in between and  end with 'mati',^bd.*bad.*q.*k.*mati$
words that start with 'na'  followed by  'eh' or 'ah' and  end with 'li',^na.*eh.*ah.*li$
words that start with 'darp' and  end with 'k',^darp.*k$
words that start with 'a'  followed by  'm' and  end with 'yat' or 'yath',^a.*m.*yat.*yath$
"words that start with 'jh'  followed by  't' and  end with 'a', 'e' or 'y'",^jh.*t.*a.*e.*y$
"words that start with 'a', 'o' or 'u'  followed by  'l' and  end with 'ad'",^a.*o.*u.*l.*ad$
words that start with 'm'  followed by  'n'  and  'f' in between and  end with 'qat',^m.*n.*f.*qat$
words that start with 'bim' or 'bem' and  end with 'r' or 'ri',^bim.*bem.*r.*ri$
four letter words that  start with 'm' and  end with 't' or 'th',^m.*t.*th$
words that start with 'p'  followed by  'ng' and  end with 'a' or 'y'  ,^p.*ng.*a.*y$
words that start with 'sa'  and  end with 'I',^sa.*I$
words that start with 'b'  and  end with 't' and followed by one or many 'a',^b.*t.*a$
"words that start with 'k'  and  end with 'a', may cotntain 'I' or 'y'",^k.*a.*I.*y$
words that start with 'j' or 'g'  and  may and  end with 'e',^j.*g.*e$
words that start with 'w'  and followed by  one 'h' or 'a' or both,^w.*h.*a$
words that start with 'l'  and followed by 'kh',^l.*kh$
words that start with 'kh'  and followed by 'biya',^kh.*biya$
words that start with 'itn' ,^itn$
three or two letter words that start with 'h'  and  end with 'm',^h.*m$
words that start with 'a'  and  end with 'n'  followed by one 'm',^a.*n.*m$
words that start with 'ye'  and  end with 'h' or 'a',^ye.*h.*a$
words that start with 'n'  followed by one 'y'  and  end with 'I',^n.*y.*I$
words that start with 'k'  followed by one 'r'  and  end with 'e' or 'y',^k.*r.*e.*y$
words that start with 'I' or 'e'  and  end with 'f' with one 'ns' in between,^I.*e.*f.*ns$
words that start with 'a' or 'e'  and  end with 'y' or 'e'  followed by one 's' in between,^a.*e.*y.*e.*s$
words that start with 'th'  and  end with 'k',^th.*k$
two or three letter words that start with 'h'  and  end with 'I' or 'y',^h.*I.*y$
words that start with 'ko'  and  end with 'I' or 'e' ,^ko.*I.*e$
words that start with 't'  and followed by 'o' or 'u' ,^t.*o.*u$
words that start with 'y'  and  end with 'r' with as many 'a' in between,^y.*r.*a$
words that start with 'l'  and  end with 'g' with vowels in between,^l.*g$
words that start with 'b'  followed by one 'h'  and  end with 't',^b.*h.*t$
words that start with 'reht',^reht$
three or four letter words that start with 'k'  and  end with 'a',^k.*a$
words that start with 'kh'  and  end with 'b',^kh.*b$
words that start with 'b'  followed by 'h'  and  end with 'I' or 'e',^b.*h.*I.*e$
words that start with 'p'  and followed by 'd' or 'r',^p.*d.*r$
three or two letter words that start with 'h'  and  end with 'k' or 'q',^h.*k.*q$
words that start with 'a' 'e' or 'I'  and  end with 'k',^a.*e.*I.*k$
words that start with 'j'  and followed by one 'sa' or 'se' in between,^j.*sa.*se$
words that start with 'm' or 'moo' and  end with 'k',^m.*moo.*k$
words that start with 'mubar' and  end  ing with 'k',^mubar.*k$
words that start with 't'  and followed by 'ra' ,^t.*ra$
words that start with 'k' or 'q'  and  end with 'r',^k.*q.*r$
words that start with 'is'  and  end with 'e' or 'y',^is.*e.*y$
words that start with 'a'  and followed by 'dm',^a.*dm$
three or two  letter words that start with 'm'  and  end with 'y',^m.*y$
words that start with 'a' or 'o'  and  end with 'r',^a.*o.*r$
words that start with 's'  and followed by 'mjha',^s.*mjha$
words that start with 'b' or 'bh'  and  end with 'I' or 'e',^b.*bh.*I.*e$
words that start with 'sh'  followed by 'r' in between,^sh.*r$
words that start with 'd'  and followed by one 't',^d.*t$
words that start with 'b'  and followed by one 'na',^b.*na$
words that start with 'yah' ,^yah$
words that start with 'hon',^hon$
words that start with 'bal'  and followed by one 'k',^bal.*k$
words that start with 'r'  and  end with 'a' with with least one 'h',^r.*a.*h$
words that start with 'l'  and followed by one 'n'  and  end with 'e' or 'y',^l.*n.*e.*y$
words that start with 'l'  and followed by one 'g'  and  end with 'I' or 'y',^l.*g.*I.*y$
words that start with 'kart' ,^kart$
words that start with 'p'  and followed by one 'r' and  end with 'I',^p.*r.*I$
words that start with 'wo',^wo$
three or four words that start with 'h'  and  end with 'a',^h.*a$
words that start with 's' and followed by one 'r'  and  end with 'f',^s.*r.*f$
words that start with 'j'  and followed by one 'g'  and  one 'h',^j.*g.*h$
words that start with 'j'  and  end with 'b' or 'bh',^j.*b.*bh$
words that start with 'ga'  and followed by 'e' or 'y',^ga.*e.*y$
words that start with 'p'  and followed by 'hl' and  end  ing with 'e' or 'I',^p.*hl.*e.*I$
words that start with 's' and followed by 'e' 'a' or 'y',^s.*e.*a.*y$
words that start with 'm'  followed by 'e' 'a' or 'I',^m.*e.*a.*I$
words that start with 'l' and  end with 'rkee',^l.*rkee$
words that start with 'l'  followed by 'd' or 'r'  and  end with 'ki',^l.*d.*r.*ki$
words that start with 's'  and  end with 'b'  followed by  vowels in between,^s.*b$
words that start with 'hot' and followed by 'e' or 'a',^hot.*e.*a$
words that start with 's'  and  end with 'th',^s.*th$
words that start with 'karan' and followed by 'a' or 'e',^karan.*a.*e$
words that start with 't'  and  end with 'k',^t.*k$
words that start with 'p'  and followed by 'ch' and  end  ing with 'y' or 'e',^p.*ch.*y.*e$
words that start with 'h' and followed by 'o' or 'u',^h.*o.*u$
words that start with 't' and followed by 'a' 'o' or 'u' and  end  ing with 'r',^t.*a.*o.*u.*r$
two or three letter words that start with 'h'  and  end with 'r',^h.*r$
words that start with 'hon'  and  end with 'e' 'y' or 'I',^hon.*e.*y.*I$
words that start with 'g'  and  end with 'r',^g.*r$
words that start with 'gay' ,^gay$
words that start with 'g' and  end with 'I',^g.*I$
words that start with 'apn',^apn$
words that and  end with 'lawa',^lawa$
words that start with 'd'  and followed by 'kha',^d.*kha$
words that start with 'l' and  end with 'kin',^l.*kin$
words that start with 'l'  followed by one 'k'  and  end with 'n',^l.*k.*n$
words that start with 'm'  and  end with 'la',^m.*la$
words that start with 'a' or 'e'  and  end with 'ham',^a.*e.*ham$
words that start with 'zar'  and  end with 'ye',^zar.*ye$
words that start with 'la' and  end with 'I',^la.*I$
words that start with 'la' and  end with 'I' or 'e',^la.*I.*e$
words that start with 'dilch'  and  end with 'sp',^dilch.*sp$
words that start with 'na' and  end with 'a' 'h' or 'w',^na.*a.*h.*w$
words that start with 'mil' and  end with 'y',^mil.*y$
words that start with 'm'  followed by one 'l'  and  end with 'y' or 'e',^m.*l.*y.*e$
words that start with 'a'  and  end with 'r',^a.*r$
words that start with 'ais' ,^ais$
words that start with 'qasm',^qasm$
words that start with 'a'  and  end with 'p',^a.*p$
words that start with 'b'  followed by 'h'  and  end with 't' and followed by one or many 'a',^b.*h.*t.*a$
words that start with 'p'  followed by 'kb'  and  end with 'z',^p.*kb.*z$
words that start with 'ch'  and  end with 'ti',^ch.*ti$
 two letter words that start with 's' or 'c',^s.*c$
words that start with 'p'  followed by 'r'  and  end with 'I',^p.*r.*I$
words that start with 'a'  followed by 'kh'  and  end with 'r',^a.*kh.*r$
words that start with 'w' and  end with 'ol'  followed by  's' ,^w.*ol.*s$
words that start with 'wasu' and  end with 'l',^wasu.*l$
words that start with 'ja'  followed by 'e' or 'I' in between,^ja.*e.*I$
two or three letter words that start with 'd'  and  end with 'e' or 'y',^d.*e.*y$
words that start with 'ka'  followed by  'mi' and  end with 'ab',^ka.*mi.*ab$
words that start with 'k'  followed by 'm'  and  'ya' and  end with 'b',^k.*m.*ya.*b$
words that start with 'rakh' and  end with 'e' 'y' or 'n',^rakh.*e.*y.*n$
words that start with 'sh'  followed by  'y' and  end with 'd',^sh.*y.*d$
words that start with 'shi'  and  must and  end with 'd',^shi.*d$
words that start with 'chah' and  end with 'e',^chah.*e$
words that start with 'chah'  and  end with 'ye',^chah.*ye$
words that start with 'p' and  end with 'yari',^p.*yari$
words  that start with 'p'  and followed by 'yare',^p.*yare$
words that start with 'd'  and  end with 'kh',^d.*kh$
words that start with 'kh'  and  end with 'wab',^kh.*wab$
three letter words that start with 'k' and  end with 'a',^k.*a$
four words that start with 'k' and  end with 'ya' ,^k.*ya$
three letter words that start with 'ho' and  end with 'I' or 'e',^ho.*I.*e$
words that start with 'ho'  and  end with 'ii' or 'ee',^ho.*ii.*ee$
two or three letter words that start with 'h'  and  followed by 'y' 'a' or 'e',^h.*y.*a.*e$
words that start with 'shukr'  and  end with 'a',^shukr.*a$
words that start with 'y'  and  end with 'ni',^y.*ni$
words that start with 'k'  followed by  'y' and  end with 'n',^k.*y.*n$
three or four letter words that start with 'k'  and followed by 'I' and  end with 'o',^k.*I.*o$
words that start with 'm'  followed by  one 'r'  and  end with 'e' or 'y',^m.*r.*e.*y$
words that start with 'a' or 'e'  and  end with 'k',^a.*e.*k$
words that start with 'dh'  and  end with 'nd' or 'ndh',^dh.*nd.*ndh$
words that start with 'h'  followed by  one 'm'  and  end with 'a' 'e' or 'y',^h.*m.*a.*e.*y$
two or three letter words that start with 'm'  and  end with 'e' 'I' or 'y',^m.*e.*I.*y$
words that start with 'b'  and  followed by  'lk' and  end with 'l',^b.*lk.*l$
two or three letter words that start with 'n' and followed by 'a' 'e' or 'y',^n.*a.*e.*y$
words that start with 'l' and followed by 'I' or 'e' and  end  ing with 'y' or 'e',^l.*I.*e.*y.*e$
words that start with 'b'  and  end with 't' ,^b.*t$
words that start with 'po' and  end with 'ray' or 'rey',^po.*ray.*rey$
words that start with 'p' and  end with 're' or 'ray',^p.*re.*ray$
three letter words that start with 'j' and  end with 'e',^j.*e$
 words that start with 'ja'  and  end with 'e' or 'n',^ja.*e.*n$
four letter words that start with 'l' and followed by 'e' or 'I',^l.*e.*I$
words that start with 'w' or 'v'  and followed by 'ala',^w.*v.*ala$
words that start with 'fa'  followed by 'd'  and  end with 'y' or 'a',^fa.*d.*y.*a$
words that start with 'h'  and  end with 'mara',^h.*mara$
words  that start with 'b' and  end with 'ri',^b.*ri$
words that start with 'd'  and  end with 'h' 'y' or 'n',^d.*h.*y.*n$
words that start with 'n' and  end with 'I',^n.*I$
words that start with 'na'  and  end with 'I',^na.*I$
words that start with 'sa' and  end with ' I' or 'e',^sa.* I.*e$
words that start with 'ch'  and  end with 'lo',^ch.*lo$
words that start with 's'  followed by 'k'  and  end with 'n',^s.*k.*n$
three or four words that start with 'g' and  end with 'y' or 'a',^g.*y.*a$
words that start with 'kar' and followed by 'e' or 'a',^kar.*e.*a$
words that start with 'a'  followed by 's'  and  end with 'e' or 'y',^a.*s.*e.*y$
words that start with 'p'  followed by 't'  and  'a',^p.*t.*a$
words that start with 'h'  and followed by  'I' or 'e',^h.*I.*e$
three letter words that start with 'k' and  end with 'h',^k.*h$
words that start with 'sh' and  end with 'k' or 'q',^sh.*k.*q$
words that start with m  followed by 'sna',^sna$
words that start with 'sha'  followed by 'r'  and  end with 'f',^sha.*r.*f$
words that start with 'ja' and  end with 'o' or 'n',^ja.*o.*n$
words that start with 'ke' or 'ka'  followed by 'hn',^ke.*ka.*hn$
two or three letter words that start with 'se' or 'sa',^se.*sa$
words that start with 'b'  followed by 'I' 'e' or 'h',^b.*I.*e.*h$
words that start with 'ga' 'gi' or 'gy',^ga.*gi.*gy$
words that start with 'h'  and  end with 'n'  followed by one vowel in between,^h.*n$
words that start with 'ya' and  end with 'd',^ya.*d$
words that start with 'n'  followed by  'z'  and  end with 'r',^n.*z.*r$
words that start with 'w' and  end with 'se',^w.*se$
words that start with 'g' and  end with 'zal',^g.*zal$
words that start with 'a' and  end with 'ha',^a.*ha$
words that start with 'm' and  end with 'ra',^m.*ra$
four or five letter words that start with 'wad' ,^wad$
words that start with 't'  followed by 'yar',^t.*yar$
words that start with 'sub'  followed by  one  'a',^sub.*a$
words that start with 'j' and  end with' g',^j.* g$
words that start with 'furs' and  end with 't',^furs.*t$
words that start with 'd' and  end with 'oka',^d.*oka$
words that start with 'ma' and  end with 'z',^ma.*z$
words that start with 'l'  followed by 'te',^l.*te$
words that start with 'd' and  end with 'kha',^d.*kha$
words that start with 's'  followed by 'are' and  end with 'f',^s.*are.*f$
words that start with 'f'  followed by 'k' and  end with 'r',^f.*k.*r$
words that start with 'l'  followed by 'ngo',^l.*ngo$
words that start with 'sal' and  end with 'n',^sal.*n$
words that start with 't and r' and  end with 'st',^t and r.*st$
words that start with 'm'  followed by 'hm' and  end with 'n',^m.*hm.*n$
words that start with 'say' and  end with 'ni',^say.*ni$
words that start with 's'  followed by 'l',^s.*l$
words that start with 's' and  end with 'kh',^s.*kh$
words that start with 'f'  followed by 'k' and  end with 'ar',^f.*k.*ar$
words that start with 'tab' and  end with 'yt' or 'yat',^tab.*yt.*yat$
words that start with 'b'  followed by 'h'  and  end with 'n',^b.*h.*n$
words that start with 'k'  followed by 'b'  and  end with 'r',^k.*b.*r$
words that start with 'm' and  end with 'sni',^m.*sni$
words that start with 'j' and  end with 'th',^j.*th$
words that start with 'b'  followed by 'sh' and  end with 'k',^b.*sh.*k$
words that start with ' and ' and  end with 'r',^ and .*r$
words that start with 'm' and  end with 'r' with any number of  'a' in between,^m.*r.*a$
words that start with 'h'  followed by 'm' and  end with 'ri',^h.*m.*ri$
words that start withn'n' and  end with 'klo',^n.*klo$
words that start with 't'  followed by 'mh' and  end with 'ri',^t.*mh.*ri$
words that start with 'm'  followed by  'n' and  end with 'y',^m.*n.*y$
words that start with 'a'  followed by  'j' and  end with 'o',^a.*j.*o$
three or four letter words  that start with 'h'  and  end with 'n' with 'a' 'o' or 'u' in between,^h.*n.*a.*o.*u$
words that start with 'g' and  end with 'li',^g.*li$
words that start with 'm'  followed by 'rt',^m.*rt$
words that start with 'l'  followed by 'g'  and  't',^l.*g.*t$
words that start with 'shuk' and  end with 'r',^shuk.*r$
words that start with 'k'  followed by 's'  and  end with 'so',^k.*s.*so$
words that start with 'chah' and  end with 't',^chah.*t$
words that start with 'n'  followed by 'm' and  end with 'k' or 'q',^n.*m.*k.*q$
words that start with 'kh'  and  end with 'sh',^kh.*sh$
words that start with 'gh'  followed by 'rel',^gh.*rel$
words that and  end with 'fla',^fla$
words that start with 'w'  followed by 'ha',^w.*ha$
words that start with 'r' and  end with 'hna',^r.*hna$
words that start with 'f'  followed by  'r' and  end with 'k' or 'q',^f.*r.*k.*q$
words that start with 't'  followed by  'r' and  end with 'f',^t.*r.*f$
words that start with 'bad' and  end with 'lo',^bad.*lo$
words that start with 'd' and  end with 'an' with 'ey' or 'eh' in between,^d.*an.*ey.*eh$
words that start with 'd' and  end with 'khao',^d.*khao$
words that start with 'guz' and  end with 'ro',^guz.*ro$
words that start with 'tumh' and  end with 'e' or 'y',^tumh.*e.*y$
words that start with 'pa' or 'pu' and  end with 'da',^pa.*pu.*da$
words that start with 'a' or 'e' followed by  'has',^a.*e.*has$
words that start with 'g' and  end with 'hra',^g.*hra$
words that start with 'pas' and  end with 'nd',^pas.*nd$
words that start with 'k' and  end with 'hna',^k.*hna$
words that start with 'zar' and  end with 'r' ,^zar.*r$
words that start with 'sh' and  end with 'kriya',^sh.*kriya$
words that start with 'h' and  end with 'so',^h.*so$
words that start with 'apn',^apn$
words that start with 'zaro' and  end with 'r',^zaro.*r$
words that start with 'k'  followed by  'd' and  end with 'r',^k.*d.*r$
words that start with 'k' and  end with 'rna',^k.*rna$
words that start with 'b'  followed by  'h' and  end with 't',^b.*h.*t$
words that start with 'b' and  end with 'ht',^b.*ht$
words that start with 'k' and  end with 'ya',^k.*ya$
words that start with 'par' and  end with 'o' or 'u',^par.*o.*u$
words that start with 'm' and  end with 'in',^m.*in$
words that start with 'd' and  end with 'lha',^d.*lha$
words that start with 'g' and  end with 'zaro',^g.*zaro$
words that start with 'b' and  end with 'ht',^b.*ht$
words that start with 'p' and  end with 're',^p.*re$
words that start with 'ke' and  end with 'y' or 'e',^ke.*y.*e$
words that start with 'ph' and  end with 'pho',^ph.*pho$
words that start with 'l' and  end with 'ty',^l.*ty$
two or three letter words that start with 'm' and  end with 'y',^m.*y$
words that start with 'w' and  end with 'sy',^w.*sy$
words that start with 'sh' and  end with 'khi',^sh.*khi$
